id,sourceUrl,originalSourceUrl,name_en,name_ru,name_tg,gender,category,subCategory,tags_en,tags_ru,tags_tg,description_en,description_ru,description_tg
item-retouched-1760634598361-29,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634598361-29.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634598361-29.jpeg,Checkerboard Necktie,Галстук в клетку,Галстуки нақши шашка,male,Одежда,Necktie,necktie; checkerboard; black and white; pattern; formal; accessory; modern; menswear,галстук; клетка; черно-белый; узор; формальный; аксессуар; современный; мужская мода,галстук; нақши шашка; сиёҳу сафед; нақш; расмӣ; лавозимот; муосир; либоси мардона,"Make a bold statement with this stylish checkerboard necktie. Its classic black and white pattern offers a modern yet sophisticated touch to any outfit, perfect for both formal and casual occasions.","Создайте яркий образ с этим стильным галстуком в клетку. Его классический черно-белый узор придает современный, но изысканный акцент любому наряду, идеально подходящему как для официальных, так и для повседневных случаев.","Бо ин галстуки услубии нақши шашка изҳори далерона кунед. Нақши классикии сиёҳу сафеди он ба ҳар либос намои зоҳиран муосир ва ҳамзамон бозичагӣ мебахшад, ки ҳам барои мавридҳои расмӣ ва ҳам барои мавридҳои ғайрирасмӣ мувофиқ аст."
item-retouched-1760634552387-27,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634552387-27.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634552387-27.jpeg,Striped Business Tie,Полосатый деловой галстук,Галстуки рахдори корӣ,male,Мужская одежда,Tie,tie; striped; business; formal; black; white; menswear; accessory; elegant; professional,галстук; полосатый; деловой; формальный; черный; белый; мужской; аксессуар; элегантный; профессиональный,галстук; рахдор; корӣ; расмӣ; сиёҳ; сафед; либоси мардона; лавозимот; зебо; касбӣ,"An elegant black and white striped business tie, perfect for formal occasions or daily office wear, adding a touch of sophistication to any suit.","Элегантный черно-белый полосатый деловой галстук, идеально подходящий для официальных мероприятий или повседневной офисной носки, придающий изысканность любому костюму.","Галстуки рахдори сиёҳу сафеди корӣ, ки барои мавридҳои расмӣ ё пӯшидани ҳаррӯза дар офис мувофиқ аст ва ба ҳар як костюм зебогӣ мебахшад."
item-retouched-1760634526821-26,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634526821-26.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634526821-26.jpeg,Striped Silk Tie,Шелковый галстук в полоску,Галстуки абрешими рахдор,male,Мужская одежда,Tie,tie; silk; striped; black; silver; formal; men's accessory; business; elegant,галстук; шелк; полосатый; черный; серебристый; формальный; мужской аксессуар; деловой; элегантный,галстук; абрешим; рахдор; сиёҳ; нуқрагӣ; расмӣ; лавозимоти мардона; корӣ; шево,"An elegant silk tie featuring classic black and silver diagonal stripes, perfect for formal occasions or business attire. Its refined pattern adds a sophisticated touch to any shirt.","Элегантный шелковый галстук с классическими черно-серебристыми диагональными полосками, идеально подходящий для официальных мероприятий или делового стиля. Его изысканный узор придает утонченность любой рубашке.","Галстуки абрешими шево бо рахҳои диагоналии классикии сиёҳу нуқрагӣ, ки барои мавридҳои расмӣ ё либоси корӣ мувофиқ аст. Нақши мураккаби он ба ҳар як курта зебогии хоса зам мекунад."
item-retouched-1760634503537-25,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634503537-25.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634503537-25.jpeg,Classic Striped Tie,Классический полосатый галстук,Галстуки классикии рахдор,male,Мужская одежда,Tie,tie; striped; black; white; formal; accessory; men's fashion; business; elegant,галстук; полосатый; черный; белый; формальный; аксессуар; мужская мода; деловой; элегантный,галстук; рахдор; сиёҳ; сафед; расмӣ; лавозимот; мӯди мардона; корӣ; шево,"An elegant classic striped tie in black and white, perfect for adding a sophisticated touch to any formal or business attire.","Элегантный классический полосатый галстук в черно-белых тонах, идеально подходящий для придания изысканности любому формальному или деловому образу.","Галстуки классикии рахдори шево бо рангҳои сиёҳу сафед, ки барои илова кардани назокат ба ҳама гуна либоси расмӣ ё корӣ мувофиқ аст."
item-retouched-1760634479583-24,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634479583-24.png,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634479583-24.png,Elegant Striped Tie,Элегантный полосатый галстук,Галстуки зебои рах-рах,male,Мужская одежда,Necktie,tie;necktie;striped;black;grey;white;formal;business;silk;elegant;modern;classic,галстук;полосатый;черный;серый;белый;формальный;деловой;шелк;элегантный;современный;классический,галстук;рах-рах;сиёҳ;хокистарӣ;сафед;расмӣ;корӣ;абрешим;зебо;муосир;классикӣ,"This elegant striped tie features a sophisticated combination of black, grey, and white diagonal stripes, perfect for any formal or business occasion. Crafted for a polished look, it adds a touch of modern classic style to your attire.","Этот элегантный полосатый галстук представляет собой изысканное сочетание черных, серых и белых диагональных полос, идеально подходящее для любого формального или делового мероприятия. Созданный для безупречного образа, он добавит современный классический штрих к вашему наряду.","Ин галстуки зебои рах-рах дорои омезиши мураккаби рахҳои диагоналии сиёҳ, хокистарӣ ва сафед мебошад, ки барои ҳар як мавридҳои расмӣ ё корӣ мувофиқ аст. Он барои намуди зоҳирии тозаву озода сохта шудааст ва ба либоси шумо як ламси услуби классикии муосирро зам мекунад."
item-retouched-1760634426420-22,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634426420-22.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634426420-22.jpeg,Brown and White Striped Tie,Коричнево-белый полосатый галстук,Галстуки рах-рахи қаҳварангу сафед,male,Мужская одежда,Tie,brown tie; white stripes; striped; diagonal pattern; formal; business; classic; necktie; elegant,коричневый галстук; белые полосы; полосатый; диагональный узор; формальный; деловой; классический; элегантный,галстуки қаҳваранг; рахҳои сафед; рахдор; нақши диагоналӣ; расмӣ; корӣ; классикӣ; шево,"An elegant brown tie featuring crisp white diagonal stripes, perfect for adding a sophisticated touch to any formal or business attire.","Элегантный коричневый галстук с четкими белыми диагональными полосами, идеально подходящий для придания изысканности любому формальному или деловому образу.","Галстуки қаҳваранги шево бо рахҳои диагоналии сафеди равшан, ки барои ба ҳар либоси расмӣ ё корӣ илова кардани зебогии хоса мувофиқ аст."
item-retouched-1760634371583-20,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634371583-20.png,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634371583-20.png,Dark Grey Micro-Plaid Tie,Темно-серый галстук с микро-клеткой,Галстуки хокистарии торик бо нақши микро-чаҳорчӯба,male,Мужская одежда,Necktie,tie; necktie; grey; dark grey; charcoal; formal; business; professional; plaid; micro-plaid; check; woven; patterned; men's accessory,галстук; серый; темно-серый; угольный; формальный; деловой; профессиональный; клетка; микро-клетка; плетеный; узорчатый; мужской аксессуар,галстук; хокистарӣ; хокистарии торик; ангиштранг; расмӣ; корӣ; касбӣ; нақши чаҳорчӯба; микро-чаҳорчӯба; бофта; нақшдор; лавозимоти мардона,"An elegant dark grey tie featuring a subtle micro-plaid pattern, perfect for adding a refined touch to any formal or business attire.","Элегантный темно-серый галстук с тонким узором в микро-клетку, идеально подходящий для придания изысканного акцента любому формальному или деловому образу.","Галстуки зебои хокистарии торик бо нақши нозуки микро-чаҳорчӯба, ки барои илова кардани зебогии хоса ба ҳама гуна либоси расмӣ ё корӣ мувофиқ аст."
item-retouched-1760634352368-19,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634352368-19.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634352368-19.jpeg,Striped Tie,Галстук в полоску,Галстуки рахдор,male,Мужская одежда,Tie,tie; striped; formal; accessory; black; silver; business; elegant,галстук; полосатый; формальный; аксессуар; черный; серебристый; деловой; элегантный,галстук; рахдор; расмӣ; лавозимот; сиёҳ; нуқрагин; корӣ; шево,"An elegant striped tie in classic black and silver, perfect for adding a sophisticated touch to any formal or business attire.","Элегантный полосатый галстук в классических черно-серебристых тонах, идеально подходящий для придания изысканности любому формальному или деловому образу.","Галстуки шевои рахдор бо рангҳои классикии сиёҳу нуқрагин, ки барои илова кардани зебоӣ ба ҳар як либоси расмӣ ё корӣ мувофиқ аст."
item-retouched-1760634331268-18,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634331268-18.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634331268-18.jpeg,Elegant Polka Dot Tie,Элегантный галстук в горошек,Галстуки зебои нуқтадор,male,Мужская одежда,Tie,tie; polka dot; dotted; men's fashion; formal; accessory; black; white; classic; stylish,галстук; горошек; мужской; аксессуар; классический; формальный; деловой; черный; белый; стиль,галстук; нуқтадор; мардона; лавозимот; классикӣ; расмӣ; сиёҳ; сафед; услубӣ,"A classic dark tie adorned with crisp white polka dots, offering a timeless and sophisticated touch to any formal or business attire. Perfect for adding a touch of elegance.","Классический темный галстук, украшенный четкими белыми горошинами, придающий вневременную и утонченную нотку любому формальному или деловому образу. Идеально подходит для придания элегантности.","Галстуки классикии сиёҳ бо нуқтаҳои сафеди тоза оро дода шудааст, ки ба ҳар як либоси расмӣ ё корӣ намуди зебо ва муосир мебахшад. Комил барои илова кардани зебоӣ."
item-retouched-1760634283764-16,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634283764-16.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634283764-16.jpeg,Dark Green Men's Trousers,Темно-зеленые мужские брюки,Шими мардонаи сабзи торик,male,Мужская одежда,Trousers,dark green; men's trousers; formal; smart-casual; classic; comfortable; cuffed; elegant,темно-зеленые; мужские брюки; формальные; повседневные; классические; удобные; с отворотами; элегантные,сабзи торик; шими мардона; расмӣ; рӯзмарра; классикӣ; бароҳат; бо қадпайванд; шево,"Elegant dark green men's trousers, perfect for both formal and smart-casual occasions. Featuring a classic cut and cuffed hems, these trousers offer comfort and timeless style.","Элегантные темно-зеленые мужские брюки, идеально подходящие как для формальных, так и для элегантных повседневных случаев. Классический крой с отворотами обеспечивает комфорт и вневременной стиль.","Шими мардонаи зебои сабзи торик, ки ҳам барои мавридҳои расмӣ ва ҳам барои пӯшидани ҳаррӯзаи шево мувофиқ аст. Бо қадпайванд ва буриши классикӣ, ин шимҳо бароҳатӣ ва услуби безаволро таъмин мекунанд."
item-retouched-1760634257230-15,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634257230-15.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634257230-15.jpeg,"Men's ""Grace"" Trousers","Мужские брюки ""Грейс""","Шими мардонаи ""Грейс""",male,Мужская одежда,Trousers,grey; trousers; pants; formal; classic; pinstripe; men's fashion; business; suit pants; wool blend; tailored; cuffed,серые; брюки; классические; полоска; мужская мода; деловые; костюмные; шерсть; с отворотами; строгие,хокистарӣ; шим; классикӣ; рахдор; мӯди мардона; корӣ; костюмӣ; пашмӣ; бо қабат; расмӣ,"Elegant grey men's trousers with a subtle pinstripe pattern, perfect for formal occasions or sophisticated business attire. Featuring a classic tailored fit and cuffed hems for a refined look.","Элегантные серые мужские брюки с едва заметной полоской, идеальные для официальных мероприятий или изысканного делового стиля. Отличаются классическим кроем и отворотами для утонченного образа.","Шими мардонаи хокистарии шево бо нақши рахдори нозук, ки барои мавридҳои расмӣ ё либоси зебои корӣ мувофиқ аст. Бо буриши классикӣ ва қабатҳои поинӣ барои намуди зоҳирии муосир."
item-retouched-1760634229657-14,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634229657-14.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634229657-14.jpeg,Men's Blue Plaid Dress Pants,Мужские синие брюки в клетку,Шимҳои мардонаи кабуди қафасӣ,male,Мужская одежда,Pants,pants; trousers; dress pants; blue; plaid; checked; formal; menswear; classic; smart casual; office; business,брюки; мужские брюки; синий; клетка; плед; деловой; классический; офисный; нарядный,шим; шимҳои мардона; кабуд; қафас; расмӣ; классикӣ; корӣ; офисӣ,"Elegantly tailored men's blue plaid dress pants, perfect for a sophisticated business look or smart casual ensemble. Crafted for comfort and style, these trousers feature a timeless checked pattern.","Элегантные мужские синие брюки в клетку, идеально подходящие для утонченного делового образа или стиля смарт-кэжуал. Изготовленные для комфорта и стиля, эти брюки имеют вневременной клетчатый узор.","Шимҳои мардонаи кабуди қафасии боҳашамат, ки барои намуди зоҳирии расмӣ ё либоси ҳаррӯзаи оқилона комиланд. Ин шимҳо барои бароҳатӣ ва услуб сохта шудаанд ва нақши қафасии классикиро доранд."
item-retouched-1760634202387-13,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634202387-13.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634202387-13.jpeg,Men's Gray Plaid Trousers,Мужские серые брюки в клетку,Шими мардонаи хокистарӣ бо нақши чоркунҷа,male,Мужская одежда,Pants,gray pants; plaid trousers; men's fashion; smart casual; checkered pants; modern menswear; casual pants; stylish,серые брюки; брюки в клетку; мужская мода; смарт-кэжуал; клетчатые брюки; современная мужская одежда; повседневные брюки; стильные,шими хокистарӣ; шими чоркунҷа; мӯди мардона; либоси расмӣ-озод; шими нақшин; либоси муосири мардона; шими ҳаррӯза; зебо,"Elevate your everyday style with these refined men's gray plaid trousers. Perfect for a smart-casual look, they combine classic pattern with modern comfort, making them a versatile addition to any wardrobe.","Придайте своему повседневному образу изысканности с этими элегантными мужскими серыми брюками в клетку. Идеально подходят для стиля смарт-кэжуал, они сочетают классический узор с современным комфортом, делая их универсальным дополнением к любому гардеробу.","Бо ин шими зебои хокистарии мардонаи чоркунҷа сабки ҳаррӯзаи худро баланд бардоред. Барои намуди расмӣ-озод мувофиқ буда, онҳо нақши классикиро бо роҳати муосир муттаҳид мекунанд ва ба гардероби шумо як иловаи бисёрҷониба мебошанд."
